City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Katangli,RU,2021-06-07 01:53:05,51.7102,143.2326,278.37,92,100,7.05
157,Elat,IL,2021-06-07 01:59:24,29.5581,34.9482,295.8,48,41,3.39
158,Port-Gentil,GA,2021-06-07 01:52:32,-0.7193,8.7815,298.89,87,100,4.11
159,Isangel,VU,2021-06-07 01:55:54,-19.55,169.2667,297.03,57,100,5.09
160,Meulaboh,ID,2021-06-07 01:51:53,4.1363,96.1285,298.8,79,100,2.35
161,Prenzlau,DE,2021-06-07 01:59:25,53.3167,13.8667,286.71,72,8,2.51
162,Tam Ky,VN,2021-06-07 01:59:25,15.5667,108.4833,306.14,55,100,1.87
163,Bereda,ES,2021-06-07 01:59:25,43.2686,-7.5406,285.32,98,76,1.65
164,Batouri,CM,2021-06-07 01:59:25,4.4333,14.3667,293.53,98,99,0.61
165,Tigil,RU,2021-06-07 01:53:27,57.8,158.6667,285.96,60,96,3.44
166,Mangrol,IN,2021-06-07 01:59:26,21.1167,70.1167,302.71,67,21,4.28
167,Ambilobe,MG,2021-06-07 01:52:32,-13.2,49.05,293.48,93,69,1.44
168,Harper,LR,2021-06-07 01:59:26,4.375,-7.7169,298.81,86,100,4.53
169,Lerwick,GB,2021-06-07 01:59:26,60.1545,-1.1494,280.15,80,75,0.98
170,Sri Aman,MY,2021-06-07 01:59:26,1.2376,111.4621,300.18,83,20,1.54
171,Oktyabrskiy,RU,2021-06-07 01:52:16,54.4815,53.471,288.22,72,1,0.47
172,Qaanaaq,GL,2021-06-07 01:52:06,77.484,-69.3632,277.46,73,58,2.75
173,Batavia,US,2021-06-07 01:50:04,41.85,-88.3126,302.14,56,20,4.63
174,Margate,GB,2021-06-07 01:53:40,51.3813,1.3862,288.54,81,22,3.11
175,Vaini,TO,2021-06-07 01:52:05,-21.2,-175.2,298.24,83,75,4.63
176,Acajutla,SV,2021-06-07 01:53:24,13.5928,-89.8275,299.98,82,37,2.77
177,Kununurra,AU,2021-06-07 01:52:10,-15.7667,128.7333,300.14,24,7,3.09
178,Lalmohan,BD,2021-06-07 01:59:27,22.3384,90.7419,303.45,79,99,6.07
179,Vokhtoga,RU,2021-06-07 01:59:27,58.8147,41.0461,286.98,71,7,0.92
180,Mount Gambier,AU,2021-06-07 01:53:46,-37.8333,140.7667,289.1,63,100,9.26
181,Geraldton,AU,2021-06-07 01:52:04,-28.7667,114.6,289.33,72,100,7.47
182,Preobrazheniye,RU,2021-06-07 01:59:28,42.9019,133.9064,292.07,59,71,4.5
183,Rawson,AR,2021-06-07 01:54:54,-43.3002,-65.1023,281.95,55,28,8.59
184,Faanui,PF,2021-06-07 01:53:00,-16.4833,-151.75,300.59,76,38,5.05
185,Guerrero Negro,MX,2021-06-07 01:52:18,27.9769,-114.0611,290.86,74,83,7.34
186,Port Elizabeth,ZA,2021-06-07 01:51:17,-33.918,25.5701,287.31,41,0,4.12
187,Pierre,US,2021-06-07 01:55:27,44.3683,-100.351,298.18,67,2,1.79
188,Juneau,US,2021-06-07 01:59:28,58.3019,-134.4197,286.05,88,71,1.35
189,Grand Gaube,MU,2021-06-07 01:51:45,-20.0064,57.6608,296.37,84,11,1.34
190,Ekhabi,RU,2021-06-07 01:59:28,53.5102,142.9671,276.52,96,100,5.66
191,Sabha,LY,2021-06-07 01:59:28,27.0377,14.4283,299.51,21,68,4.91
192,Juazeiro,BR,2021-06-07 01:59:29,-9.4117,-40.4986,298.25,65,20,2.57
193,Pedernales,DO,2021-06-07 01:59:29,18.0384,-71.744,299.72,73,11,4.77
194,Vardo,NO,2021-06-07 01:51:49,70.3705,31.1107,277.16,72,6,2.17
195,Bombay,IN,2021-06-07 01:56:23,19.0144,72.8479,299.14,100,75,3.6
196,Carnarvon,AU,2021-06-07 01:51:49,-24.8667,113.6333,291.19,63,100,5.14
197,Kushiro,JP,2021-06-07 01:59:29,42.975,144.3747,296.68,49,40,4.33
198,Dandeli,IN,2021-06-07 01:59:29,15.2667,74.6167,294.05,90,64,1.31
